Name,City,Date,Review,Ratings
Gulshan  Ahmed,"Certified Buyer, Silchar",11 months ago,Overall sameREAD MORE,5
Flipkart Customer,"Certified Buyer, Bankura District","Oct, 2023",Nice one 🫶READ MORE,5
K.srinath Sri,"Certified Buyer, Kandukur","Oct, 2023",Amazing product❤️❤️Best iPhone out of all the iPhone seriesREAD MORE,5
Shivani Jain,"Certified Buyer, Utekhol","Sep, 2023",Awesome😍switch from android to iOSREAD MORE,5
Amitabh Srivastava,"Certified Buyer, Bengaluru","Sep, 2023","This is an amazing phone and back side of phone is frozen glass which makes it less prone to finger marks while holding. Till now enjoying it, will update with further details after a week.READ MORE",5
Rohit Pingale,"Certified Buyer, Raigarh District",10 months ago,Nice ColourREAD MORE,5
Subhodeep Roy,"Certified Buyer, Kolkata","Oct, 2023",Fully satisfied 👍🏻READ MORE,5
santosh  parida,"Certified Buyer, Hyderabad",9 months ago,Excellent!!!READ MORE,5
Mohd Hasnain,"Certified Buyer, Bareilly","Oct, 2023","Upgraded from iPhone 11, The camera quality is awesomeThe display quality is great and the dynamic island working perfectlyHappy with Apple and FlipkartREAD MORE",5
Harpreet Singh,"Certified Buyer, Ludhiana","Sep, 2023",v v goodREAD MORE,5
Gaurav Verma,"Certified Buyer, New Delhi",10 months ago,Not giving a fast refresh rate is really a bad idea.Shame on you apple...with this range of phone this kind of average feature should have been given.READ MORE,3
Anish Sanjay,"Certified Buyer, Salem",7 months ago,Really its the best and richest design 😍READ MORE,5
sonali Patil,"Certified Buyer, Kalaburgi",8 months ago,Good one except the price🥲. If we have old one we can exchange and it would be much more less.READ MORE,4
Noorhasan  Shaikh,"Certified Buyer, Mumbai",11 months ago,Design n Build Quality is Best in Class.Performance is amazing.Camera is Good.READ MORE,4
Gaurav Verma,"Certified Buyer, New Delhi",10 months ago,Not giving a fast refresh rate is really a bad idea.Shame on you apple...with this range of phone this kind of average feature should have been given.READ MORE,3
NOOR ALAM,"Certified Buyer, Rampurhat",11 months ago,Awsm 😍😍READ MORE,5
Gulshan  Ahmed,"Certified Buyer, Silchar",11 months ago,Overall sameREAD MORE,5
Vipul  Kumar singh,"Certified Buyer, New Delhi","Nov, 2023",Awesome qualityREAD MORE,5
ANKIT kumar,"Certified Buyer, Muzaffarpur",6 months ago,"The best part of camera is cinematic video which is fabulous. Rest of the things are good, but cinematic mode is on next level, higher rate is missing which may hurt phone noise cancellation is on. Also next level. Some small small features which make sweet point to use and make it different from android efforts of making iOS and developing some sweet sweet things are appreciable and if you have MacBook or iPad, ecosystem work, fantastically the best things for this iPhone is much much better...READ MORE",5
Lokesh  Kumar,"Certified Buyer, Udhampur",7 months ago,Battery is good.Performance i dont care because I dont do gaming Design is Awesome.Camera is phenomenal but there Are some lens flares when camera is facing the sun or any bright object.There are no heating issues in my unit but it does feel warm sometimes when using the camera in sunlight.Overall i love this green colour.👌👌👌👌👍👍👍READ MORE,5
Krishna Prasad Mahanta,"Certified Buyer, Lanka",7 months ago,Camera quality are too Great Display awesome Battery is average Design is very nice Overall very goodREAD MORE,5
Flipkart Customer,"Certified Buyer, Badgam",9 months ago,-Wonderful performance-Camera quality is superb-battery backup not that good-sound quality is awesomeREAD MORE,5
MONIRUL MOLLA,"Certified Buyer, Gurugram",9 months ago,Best photo for iPhone 15READ MORE,5
Rupesh jha,"Certified Buyer, Chandigarh",10 months ago,Switched from Redmi 12 5G to Iphone 15 . It feels like I have never used Phone. Totally Worth It and the Feeling of using Iphone is Super Awesome.READ MORE,5
